0.1,11030,27596,39515,46702,58412
8267,9314,12808,15859,24254,28992
6195,9230,12182,16691,23193,28047
41540,49244,69633,88987,105778,105306
11658,17092,20885,26594,35371,39208
22333,31955,42180,52183,53583,62616
32274,41198,52485,63077,77800,84489
8195,10237,12186,13587,17574,21597
0.1,0.1,5229,11107,16001,21586
0.1,0.1,5585,7784,18943,24093
12225,17574,18570,39799,45436,51559
16778,28525,43074,73086,102391,122391
22229,26907,35947,46165,53608,55143
11045,13479,16225,21668,30842,38886
16467,17862,20997,25413,28638,30673
807211,1104339,1431081,1953149,2436400,2728350
9647,13575,38047,50081,71462,68329
13389,24503,26716,34611,50750,80589
16936,22392,23426,28373,34241,33473
32611,41302,51195,58485,62134,61916
6179,8102,9387,15600,21606,21894
0.1,0.1,27343,36271,38270,45901
9025,12077,11470,19747,20118,28265
116056,192264,272206,321915,446951,585077
20910,37929,56545,83591,99845,104442
9750,11640,14720,18725,28036,34661
19561,20822,25638,26857,29179,31295
33182,39304,59329,60659,68186,84737
0.1,10558,16970,19486,29578,31138
10762,12311,13273,19409,27759,28385
12221,25216,42188,78450,86869,92476
9992,13121,17421,17352,23084,30465
290693,392231,540060,645574,750136,786581
48755,70517,84165,159962,169100,170722
9529,12603,14071,14460,17484,22104
14510,18057,20661,23810,26965,29250
20366,28632,33632,45643,54737,62061
0.1,9020,12650,16543,20676,21235
79031,105258,142922,152200,170493,188544
145273,182329,218229,442610,534928,541455
0.1,0.1,0.1,0.1,61116,67268
7045,8757,8890,10978,16561,21384
6439,6971,7256,12728,16534,21477
21268,15603,24533,52399,65423,68157
18166,20164,22346,37894,50855,72087
47768,67472,95725,156658,210200,207871
5364,9104,16024,26528,36537,49200
0.1,0.1,6875,15821,23422,27123
8146,9504,12996,18403,29429,35466
7409,9124,10861,13938,19358,22555
24055,29918,41078,45499,62659,66703
13924,16082,18431,19696,33739,39069
0.1,0.1,14405,25036,42974,53179
42438,51988,63441,78543,86981,91925
0.1,5539,7243,13512,24081,26594
7216,8258,9499,17463,24254,25518
12683,17447,21890,41387,43447,43790
25054,29056,25480,33305,51413,81641
0.1,6123,6859,14426,21675,21305
0.1,5272,6032,14122,18925,21925
0.1,0.1,8360,22897,28824,30316
0.1,5581,12870,16907,21282,26788
0.1,12429,17711,27348,34259,36094
128598,160855,223655,276609,380485,410430
0.1,0.1,0.1,0.1,26900,45326
22955,28920,59545,93417,89324,129459
0.1,0.1,11717,14131,16570,21590
9027,11822,22170,28958,26510,31457
10939,17162,18337,20083,24929,28051
22715,54089,153429,212777,225848,264199
0.1,0.1,14577,22730,27317,32829
10782,16992,19605,25099,34668,41400
6614,13468,19677,90990,109482,162189
0.1,0.1,6925,13468,22789,28243
9619,17159,17275,29966,36294,47267
7926,10227,12383,13075,19687,27312
682451,871508,1303264,1800795,2439621,2878509
0.1,0.1,49583,62140,73214,99729
0.1,0.1,0.1,11400,18149,22609
9407,12182,16273,27152,49432,69296
21016,37668,42079,92080,121623,134341
0.1,0.1,0.1,0.1,0.1,21643
8362,14125,23861,42477,55207,71753
14271,13739,14562,28484,38641,52419
14659,16916,23906,28219,34198,36173
5007,6790,7993,14890,27576,32656
0.1,5593,5860,9864,14747,22034
41927,57443,75842,101083,102001,111360
43726,63558,80419,133300,156847,164487
22425,22117,30415,52046,76036,82474
12834,13600,26721,39644,54225,58137
6054,7219,8931,13703,22180,22703
422590,563384,749106,999322,1642753,1944524
0.1,0.1,7051,19559,28612,34403
80388,90489,303007,415901,460378,523004
87091,181203,208356,242948,260516,343056
0.1,6919,7725,6457,17790,24920
1753605,2898614,3687895,4666369,5088504,5891846
0.1,0.1,0.1,61279,59178,65696
0.1,0.1,6362,31176,48291,63593
17025,19036,30342,37540,50562,51338
8696,10056,14367,18884,27532,37918
0.1,0.1,0.1,19326,23298,25868
16897,21038,32550,41035,55083,63053
0.1,6009,9430,13778,20855,24486
11988,17337,27021,28370,42795,44290
0.1,6592,35332,94563,110807,139620
0.1,6389,7971,16937,20060,23759
25881,37456,80602,114612,169403,189153
12941,26942,37380,64171,67407,88311
0.1,0.1,15213,31193,39590,48508
7587,7427,10857,12757,18260,23039
15498,25092,56241,79065,96584,108304
11075,12382,16395,16731,24887,30891
0.1,0.1,0.1,15061,20883,34441
6237,7700,20035,30901,49102,63063
0.1,19521,29207,38738,59062,90049
0.1,0.1,0.1,0.1,31353,32738
28071,45621,63074,89254,105217,133383
0.1,0.1,0.1,20184,22642,26189
6662,6906,9072,13432,18428,33810
6351,8393,12015,18257,28214,32150
11491,16736,22864,55298,90707,131073
