634864,739274,847487,907810,1052238,1128047
663510,967522,1509052,2122101,3251876,4192887
265660,351667,531443,666880,843746,980263
30350,58562,178609,210908,347045,463204
242980,323296,393774,513117,610518,699757
291984,329162,403089,543477,661645,839631
365945,413053,514621,667490,799407,930450
6038771,7032075,7477503,11273720,12365627,12828837
36585,194506,265900,370522,446997,514453
82658,376430,529174,669016,753197,823318
502778,800592,1014002,1481102,1796857,2149127
809782,1143146,1558182,2588793,3254821,4224851
1033011,1357854,1861846,2498016,2813833,3095313
2648762,3109519,3250630,3686592,4123740,4335391
642315,1064714,1295071,1497577,1735819,1836911
168962,264324,298694,369608,399347,423895
31027,204885,299681,388222,458614,483878
249989,290208,347342,480628,563598,685306
29615,43503,245738,311921,368021,442179
143742,235972,317458,409482,537484,645613
855129,1095640,1431277,1626050,2157756,2543482
334576,389153,395455,443722,882567,916829
525207,663891,721230,1064877,1148618,1212381
311681,355538,417572,529897,824008,862477
2001897,2861123,3060922,3923574,4796183,5636232
37395,69970,258762,370712,443343,590289
22523,27351,205266,335113,440888,618754
455411,528865,737541,925213,1122750,1345596
54199,70577,321652,405382,483924,602095
11982,40236,272959,398978,476230,543376
935047,1267792,1625781,3192582,5007564,5564635
318487,428003,700055,1072748,1644561,2134411
203376,243075,289782,344406,412153,448991
0.1,0.1,0.1,0.1,0.1,424107
34083,40237,202251,277776,589959,702281
772453,1012594,1569134,2067959,2395997,2783243
1017188,1390164,2029710,2833511,4247981,5286728
216639,253460,327372,396809,499684,564873
34481,112230,173036,205775,464840,616561
6220913,6978947,7103624,8065633,9098316,9461105
697567,1109882,1166575,1249822,1525104,1887877
266315,286101,338048,392928,481394,569633
343231,389352,411313,485270,571166,630919
131906,174323,317629,348428,408326,472099
725139,826553,906152,952662,1161975,1235708
230058,285167,494151,528264,705973,802484
40400,109716,150017,208740,239086,466750
868480,1045809,1187073,1238816,1316510,1189866
281481,294703,333079,334341,375965,439811
120655,141625,183625,230462,487568,514098
1727023,2070670,2174023,2382172,2552994,2710489
2589301,2753700,2763357,3969851,4391344,4552402
478592,529922,530668,541371,680014,621570
323306,344320,372940,443875,750963,916980
3762360,4199931,4353413,4248699,4452557,4296250
374313,496658,450449,430459,436141,425790
363187,411044,444506,500631,740482,988938
298949,378423,471565,432674,447728,464036
1482030,1813647,2113533,2464124,2968806,3348859
187045,258906,320425,395396,497197,567122
1039493,1253916,1327106,1566280,1836038,2009342
2060103,2363017,2356460,2444099,2698687,2787701
126276,152929,207704,240593,368374,436712
457873,540142,569614,618262,767041,865350
127016,273288,463087,741459,1375765,1951269
84743,121068,193623,254667,342885,425417
262199,315774,454499,543896,729649,887077
657503,721910,741580,777584,825875,870716
1306957,1349211,1242826,1189288,1170111,1135509
10694633,11571899,11726159,16818080,18323002,19567410
586387,882667,971230,1002410,1037831,1079671
563781,636507,642971,659864,650154,662577
130074,145056,177761,191774,369171,424858
272111,409370,637218,869672,1330448,2217012
111995,190388,229840,275686,426493,504357
246520,364948,408882,453966,643430,723801
169082,228453,301327,459794,797071,1130490
189428,238947,305208,361448,421961,640595
513569,679239,660328,657575,694960,703200
1071624,1384851,1401491,1744124,2009632,2114580
1796595,2064194,1898825,2102248,2148143,2077240
682962,916228,1093316,1377419,1612694,1901974
694623,850266,830070,843835,848153,799232
456931,574092,656940,654157,659188,610001
636525,663178,659649,613622,602964,565773
511833,640889,778849,900079,1095421,1252987
418974,476945,657173,708954,859532,937478
821897,1009129,1242594,1477895,1927881,2226009
492168,543551,635481,686688,740395,821173
345071,410626,446576,474242,509074,549475
278359,319693,362346,422822,470658,519445
4342897,4817914,4716818,5435468,5687147,5965343
2405435,2401245,2263894,2242798,2431087,2356285
234531,234107,570987,575264,560625,563631
238336,272603,312963,339574,381751,434972
816148,910781,919216,1178263,1582997,1600852
216382,303849,430462,506875,549033,664607
260828,322880,410088,453331,647158,767598
209776,299502,367205,414061,559940,824112
283169,304927,426540,433210,476531,528143
368080,409409,476517,553773,739160,837571
627019,770120,913472,981747,1205204,1324829
399743,541108,850505,985026,1311789,1670890
212136,295516,536688,781572,1249763,1716289
221573,284832,326228,349894,403280,428185
1083601,1555950,2957091,3920094,5161544,6426214
314070,359291,479899,591610,679622,804123
1243158,1985031,2905353,3711043,4715407,5920416
79621,181535,283229,383545,569463,774769
687151,864014,1071954,1302099,1711703,2142508
110744,225306,291156,346271,442656,597159
106991,137776,218106,263590,376774,526810
383035,458607,645099,752557,968858,1087873
578507,680600,806951,1409843,1576370,1676822
408494,518319,632015,865640,1096957,1208101
1107213,1421869,1607469,2559164,3043878,3439809
278333,287487,341835,361364,417939,527753
222095,290272,323545,367085,501774,605435
1194290,1403688,1397143,1432149,1500741,1555908
