2887727.37358117,3642418.11934662,3923457.53418112,4300867.49208164
712248.102902412,885134.744796038,1018323.9365139,1305076.21013165
1148905.51469898,1176500.2628336,1087752.25318432,929157.350193024
1359891.15392971,1390415.7580719,1302891.47276306,1154630.03549194
1011277.26807404,955880.877811432,936081.011727333,948354.924604416
877816.894053221,1013043.42217445,1023012.58303261,1028391.12270164
822034.167768478,939347.303551912,1038658.96073914,1225958.69615936
7370926.05794206,10191342.6002991,11665385.3270621,14077364.3642133
1087197.62362909,1149487.18256152,1110373.34564877,1034760.13127136
1135313.69757211,1188221.16581631,1115084.99596024,995900.676559448
1118271.82083324,1259043.82538986,1256913.00124359,1230729.45720673
1098788.08909225,1535891.38981628,1731282.00387573,2006721.84486389
1136080.72522318,1158983.51346684,1194803.85802269,1309503.41890335
1422320.29896736,1482004.42658424,1569185.05328178,1596992.45100784
387667.750854343,566377.203912247,709470.629411455,975000.709702432
1333606.36794114,1266664.58937645,1245952.08204651,1273981.04412818
1840867.21210498,1883329.19062233,1958871.0763855,2202574.79889107
814078.561417401,866103.972172737,885236.493083954,1004262.74495125
2095745.17115355,2143543.02709484,2212131.28437424,2426862.54217815
3059394.68022919,3143129.19945526,3293353.66093102,3271872.3120999
826550.395708561,942834.682136059,1024902.93499565,1128715.32818535
1680993.29654425,1801502.63125992,1785840.9697609,1789293.61728859
1571189.04948997,1697113.03213882,1796292.48240185,1913888.19769382
3803444.89625239,3650808.81769454,3669263.66031325,3443652.88488436
6767324.5461474,7436741.41718271,8077756.18982546,9609627.23124576
378080.496732626,565763.093202163,723755.797831438,1027226.57575943
1178115.56175649,1282498.78190494,1409445.45274973,1508676.65660357
914970.049278259,1027735.58592224,1131359.60411072,1381517.4846344
1903103.02150536,2384620.9193458,2530830.96712494,2737788.64882565
1802427.51996326,1824784.70845556,1714308.39733458,1526062.23812151
748977.604603767,817212.944272041,895815.749674797,958696.387730598
824881.506134033,955570.986001015,1016054.04672337,1126680.7081399
1350122.28484344,1516537.90274048,1489033.43973541,1430660.58934402
961311.764849655,1307640.43368036,1563955.11667008,2015029.57915302
851436.277963161,898742.842782021,961765.665225506,986038.15670085
7822582.02286243,8576325.13622618,8991835.85798872,9711652.25660014
1333188.32425183,1469348.25737,1621219.53850937,1856675.54301834
883145.629390717,1097815.29687738,1307096.92726612,1573652.44337463
1189332.92941093,1182196.36744618,1107531.89369011,996285.784211524
156271.896670938,446840.91261673,708842.897884369,1316070.20695496
1074638.94634247,1353965.59111786,1530482.24414408,1758467.95559883
1065098.29297733,1163622.61291122,1134295.21304321,1070468.25116539
1425531.79541086,1884503.04747467,2273822.59265489,2678205.03301364
1019715.58713287,1166342.58293819,1149622.02841187,1117969.50260448
921330.212493896,1011919.01682281,1063582.04202652,1152368.36786652
2090031.29252386,3018508.74286759,3545231.0792675,4130656.7844696
2916071.57513255,2971510.12516391,2944441.26916122,3011029.84067667
2310509.80326924,2643540.01954383,2829902.43397999,3105303.6032463
1017941.22781556,1229025.1829371,1356701.67437777,1655686.13939582
1239611.65257525,1242018.35882723,1212598.53906846,1205384.99981236
1214718.44916825,1464649.16763321,1660648.65445481,1733144.75179523
863351.722942829,1069312.20116425,1117205.4205339,1106870.25568914
1662047.69082737,1999360.53727329,2005019.94921923,1774128.26777613
1324800.67936957,1549886.37763894,1583756.39290285,1501500.2642709
2037949.23550892,2745231.47961929,3080003.54255986,3337264.05873573
712666.502474725,1379643.7162497,1966180.27244377,3057127.2255249
3274911.58964673,4189726.30595362,4853173.79646197,6036145.78300986
686340.008244038,1129558.04691672,1221544.18606472,1730584.31183243
2045372.79738569,2090083.03735256,2043386.50631142,1894557.3629055
719085.183800399,914033.206074983,1087425.5815731,1101829.80841729
564100.047003657,784937.089094162,913359.541557312,1119914.83842468
562391.259227753,750327.187376022,815894.123125076,926881.288761139
1572179.63758345,1862612.58942781,1994447.14221844,2063274.18309237
2997857.48795967,3391174.54547352,3595863.40023199,3288131.60271677
1135383.71545058,1230585.48989904,1205282.20201945,1080132.62082291
2194133.19852251,2276508.88784748,2275676.04173362,2342859.75910825
2837207.09388477,4050198.23644543,4743827.53918457,5489522.56603622
687326.862812042,1024811.56575012,1046696.86473083,1077839.80924988
5813214.26661061,6435984.40254841,6908818.5833504,6779775.29351209
984675.633313999,1224596.73864346,1352855.46398844,1188874.54928929
2894927.66236734,3235445.27544737,3386805.50431204,3832012.36925411
2026737.41941833,2700942.00486946,2920156.64540482,3157849.75416932
946689.635113358,992028.857282639,1014251.34938002,998283.490438223
1065285.7320725,1311711.40381336,1388574.69783783,1386689.50295639
4704983.46860673,7931495.55340099,10148541.9481807,14111242.4122822
778464.812038779,1229180.92963314,1504461.63759089,1881076.44017792
3372590.18998489,3307149.17890199,3198348.86639006,3167668.46665485
865603.955013275,1323127.80303192,1612577.25822449,1995853.75624084
398048.859977722,599903.48943615,805627.017909884,972714.625295877
13029776.2643853,14939951.1697574,15597301.320924,15950674.2894509
978513.864544392,1319728.88190651,1544209.52835083,1961523.0976944
3295915.27961278,3834683.24843693,4133153.77945852,4894294.60208321
212267.275040388,621164.212440968,973056.87108469,1680190.29669189
691853.779271126,877575.634468079,955027.328941345,1007051.2743988
1003338.81063843,1291666.53594208,1135631.44752502,1132740.69330597
839247.924377441,1173988.27973175,1339128.26343155,1501062.30500031
797783.315372348,1711449.00666904,2247628.71631432,3002439.98031235
72700.1153352261,252025.306851149,533956.473870277,1363364.37051201
1051031.60429972,1021709.68206501,995416.890794695,1138151.47503346
3387578.99608129,7074952.72384262,10640695.3362103,17982667.6475067
822464.365840182,895618.311163902,932890.962133527,1086019.56408221
2192994.34086556,2696921.6876765,3071639.42637176,3132223.29869148
981983.058927536,1313420.58595467,1469310.22930527,1578319.53572083
1158042.03045434,1488885.04811107,1839649.19032908,2229499.86359544
1048086.08904839,1167814.55857658,1224885.59632111,1393120.29383469
709699.718425345,1068543.898963,1351485.79962039,1360858.29779637
1846809.35402846,3327260.69865346,4545486.14866907,6642178.9425838
2198861.65570641,2437950.17273521,2500612.41867828,2439213.86891174
279680.557834119,504749.273496687,680970.911664486,990730.242729187
1682744.40006173,2443033.12806574,2883260.85959518,3379821.74448478
861521.497707024,920091.310640402,967399.199491754,1129297.08086655
788850.167957783,1044763.23842144,1162910.26316452,1251378.93710327
2213900.20475272,2643439.75249192,2926241.22646236,3368613.48063225
1583205.99380136,1773500.95083928,1886879.3009003,1958520.77434906
318687.912254333,557208.093887329,699574.710876465,1063670.4468689
686372.158115515,949852.773380402,1171841.55662661,1100883.93794849
316314.923999786,623983.208831787,900758.676025391,1440104.63705444
1002515.37171406,1121542.31402653,1202165.51965839,1528104.29754394
2329439.60814106,2519339.51449394,2531235.7302537,2794141.78084564
1080337.53290433,1176361.6097492,1172519.73436928,1142678.37559891
1857254.24637175,2572747.01522279,2952223.2947979,3314770.19675446
35787.043171525,627935.362239838,1117220.36257172,1511358.83668518
2801296.06796765,3119705.94034642,3351355.9323293,3315199.42129505
1150731.72439909,1934461.82732248,2526831.42649412,3451600.38115311
945188.029951096,1216735.674427,1348338.99159765,1404328.29846954
2653797.94373005,3770562.83576181,4362804.67165829,4604961.31032413
13100210.2005937,17365096.783475,19256801.0655348,21600841.0338162
126863.711364985,408059.543937683,687550.773890674,1324139.60292816
199158.755782604,466933.521443367,670008.282157898,944863.830207825
934000.702180147,1388678.7831192,1693143.31212521,2116487.17029953
698141.633023262,918739.293439865,1022216.64155579,1098285.50808716
1899484.72513497,2525203.2929697,2845741.58741426,3857232.50939941
659683.900770187,904625.945541382,1030655.3196106,1137997.12426758
1632706.46814013,2405981.75468254,2893032.97815716,3460770.59093666
478133.849333763,747329.203355789,923713.6788311,1171720.26817322
1022018.62594301,1341867.6331687,1500916.50015116,1631852.55698395
927575.288518429,1207568.87084198,1333774.07786894,1534182.40025139
460092.503299713,537133.998378754,704293.702468872,1016968.51403809
63501.4796953201,1112358.89894295,2022715.99642754,2841665.6278801
1218539.79293925,1316700.47989821,1269575.03283954,1173901.03246999
378221.185375959,735351.083000183,874263.732796669,1246462.0004653
872267.322429657,1438019.77458954,1877991.46875572,2112719.31382942
1616997.64049959,2425955.21414149,2954006.7147938,3603126.14837742
918875.200455666,1061559.58602905,1105196.88490677,1076264.23580933
1119011.69014167,1653773.75363058,1972323.97064972,2365069.25137329
620449.428410582,959556.637316361,1219943.54987502,2029109.78471747
2071999.59166956,2447513.98253213,2513136.83652687,2474024.94122314
232218.382583141,445419.802271843,627371.901599884,976954.518356323
466249.546629515,766752.51877024,888206.878576279,1134882.86119652
2691051.06034219,7428341.75670981,9875802.82068539,12515044.5449162
635070.393153429,825625.99806881,881447.600366473,922818.837289572
22541604.5920932,27406702.0735523,29965512.5602764,33028731.2211789
854548.229759216,1149015.44311523,1289423.42903137,1469650.01593018
3366559.38401508,3754871.68674707,3706793.20697689,3431209.04966927
1038371.73474789,1272337.41661835,1329865.78682137,1312575.89543152
374201.786720276,619693.369880676,751454.115188599,951130.864407212
1264646.62751031,2246790.14035034,3048651.82413483,4368639.38959885
