evolution$generation,evolution$evaluated,innovationWeight,innovationGravityDecay,innovationInnovationDecay,innovationMutationRate,innovationNewInnovationHierarchy,innovationEarlyAdoptersRate,innovationUtilityStd,innovationUtilityDistrib,ecoWeight,ecoSizeEffectOnDemand,ecoSizeEffectOnSupply,ecoGravityDecay,ecoWealthToPopulationExponent,ecoPopulationToWealthExponent,coevolWeight,coevolGamma,coevolGravityDecay,coevolNetworkGmax,coevolNetworkExponent,coevolNetworkThresholdQuantile,objective$gravityFlows,objective$oppAverageUtility,objective$averageDistance,objective$giniEconomicWealth,objective$oppWealth,gravityFlows,oppAverageUtility,giniEconomicWealth,averageDistance,oppWealth
38000,38000,0.03982361794822144,0.35781149893297903,0.16527523498063373,0.1786898176046353,0.18801153554512123,0.506346723733001,1.3776936988677841,normal,0.04814339352642881,0.10033280706585637,1.8211879663873576,1.1787345967468896,0.6488716827266324,1.9869519487459244,0.0011417859871417277,0.1,1.3075640399799442,0.024348643951764535,0.839897747002044,0.5337751917391945,5.556730677628368E-4,-2.4212348149582015,0.10837441201285575,0.9112252531732449,-12881.989319233813,5.556730677628368E-4,-2.4212348149582015,0.9112252531732449,0.10837441201285575,-12881.989319233813
38000,38000,0.05,0.01,0.8529128816468348,0.34529936138532397,0.21515266690621287,0.05923652321453657,1.5427610032490207,log-normal,0.029535948426261633,0.10183843713777967,0.12239679491201207,1.1776019771438668,0.1,1.2710911036037589,0.05,1.9298225516201577,0.2947342182689509,0.03657483115718855,1.9974812399319601,0.40545757940652993,4.694325708055195E-4,-3.649723518506486,0.05217688027936579,0.9155376620266893,-6289.725291840976,4.694325708055195E-4,-3.649723518506486,0.9155376620266893,0.05217688027936579,-6289.725291840976
38000,38000,0.0,0.010762070857882972,0.01,0.455447742264494,0.20584543746304523,0.7208062131588364,1.6045921233155047,normal,0.02305403153046519,0.10020342961582424,0.6283920444934952,0.01,0.37512379468667867,1.5478730684949773,0.008793758807680893,0.10844651506706135,0.010651107404697971,0.04297679460656699,1.5794725350246628,0.5458477001830304,1.2353707031356715E-5,-2.9232281728669367,0.47464178480867514,0.9328666488832849,-7530.8141152204735,1.2353707031356715E-5,-2.9232281728669367,0.9328666488832849,0.47464178480867514,-7530.8141152204735
38000,38000,0.01954192150859078,0.36971388833203706,0.09845608420941343,0.24506021844967993,1.7507142869650703,0.6359993128319746,1.2296959777720438,normal,0.01734700782109964,0.10016857654430182,2.0,1.4426905060622282,0.1,0.1,0.0031539912090201416,1.095967157597749,0.9778356661027356,0.009165551028979096,0.31587382897480354,0.21710721527350452,9.77924767270283E-4,-1.5739908744262594,0.17057186011479156,0.02710799152229294,-9250.213380426658,9.77924767270283E-4,-1.5739908744262594,0.02710799152229294,0.17057186011479156,-9250.213380426658
38000,38000,0.0499814092337491,0.027557941924847326,1.3407369145228722,0.3842865144052783,0.12565959646826938,0.15622095067004377,2.0,log-normal,0.01698603687700849,0.1,0.2578985587821986,0.9082297001603923,0.2947046152241333,0.8756463962146703,0.00618238488521447,1.6078822222380467,0.08321541332069926,0.04767837216262185,1.4057791425678758,0.38908678412690767,3.055051218066237E-4,-11.605035286488771,0.07451911161332334,0.9062454865682426,-3178.1941594552745,3.055051218066237E-4,-11.605035286488771,0.9062454865682426,0.07451911161332334,-3178.1941594552745
38000,38000,0.0,0.010419204583247478,0.010180472889683639,0.45523895222145244,0.20471056534384147,0.7274359108310381,1.6072188779285854,normal,0.02223350007112309,0.1,0.6007001981918096,0.01,0.3754486107758044,1.4106591132977087,0.008692014583557365,0.10192955326344084,0.01069694415294873,0.043018579547059635,1.5803814781846712,0.5261169708311042,1.2433481801307297E-5,-2.772019874981425,0.5263311317079177,0.9283381743549856,-6655.306773432514,1.2433481801307297E-5,-2.772019874981425,0.9283381743549856,0.5263311317079177,-6655.306773432514
38000,38000,0.04682644126259952,0.013208537400592704,0.3791050361987074,0.4069584164718668,0.10732757740440779,0.3955095271951637,1.976893659218471,log-normal,0.02370353822589174,0.294705634713491,0.32455097386995885,0.01,0.11829349670653863,2.0,0.03394438038552331,1.3920921568443692,0.01,0.040434975501195944,0.7800726817106053,0.45610327969046616,1.753194062129765E-4,-4.705746560304544,0.07092932934310518,0.9596823680778335,-5024.377456189792,1.753194062129765E-4,-4.705746560304544,0.9596823680778335,0.07092932934310518,-5024.377456189792
38000,38000,0.04708815722245311,0.013390487621255349,1.0046542368673375,0.4693893055578661,0.11395834355786685,0.010390898838326453,1.6302957242405611,log-normal,0.016481956482010063,0.1002345659317778,0.4823130019846106,0.43687564597020023,1.1363322041132051,0.5153197067593581,0.018218060375067412,0.47280818800896296,0.10038442903456582,0.01011435379388438,1.6517941851717546,0.11345786773257244,2.088593579577717E-4,-6.353152174275048,0.07426591680975309,0.8586329539701103,-2256.2781018435253,2.088593579577717E-4,-6.353152174275048,0.8586329539701103,0.07426591680975309,-2256.2781018435253
38000,38000,0.029944501989046052,1.4889960260248138,0.8581976913945227,0.024631826680278197,1.3864093663991812,0.8716985053196747,1.2180832822001064,normal,0.02939356153962311,0.10019691035588194,2.0,1.3609528990980866,0.1,0.10071540756650581,0.008167577643913562,1.0702197851765685,0.9856063876559646,0.008943637386642049,1.1906565219499243,0.184262815521637,0.0014886302905360023,-0.9999999999999998,0.159088003260972,0.038395851679323495,-11090.639162894768,0.0014886302905360023,-0.9999999999999998,0.038395851679323495,0.159088003260972,-11090.639162894768
38000,38000,0.028073018395216212,0.20107883830931458,0.02252390667872884,0.08735216445039541,1.51326704723339,0.6283528544500865,0.9725065808709061,log-normal,0.013094634594612966,0.10027595996217606,1.9897015679239463,1.418212140952936,0.11492837743679131,0.1,0.003143482446110036,1.1841991843572235,1.4243111761829,0.014003435925172303,0.1,0.2410980351821645,0.0011350410013560171,-0.9715142484421806,0.12915108840362113,0.040372023595529716,-8944.240770648317,0.0011350410013560171,-0.9715142484421806,0.040372023595529716,0.12915108840362113,-8944.240770648317
