evolution$generation,evolution$evaluated,innovationWeight,innovationGravityDecay,innovationInnovationDecay,innovationMutationRate,innovationNewInnovationHierarchy,innovationEarlyAdoptersRate,innovationUtilityStd,innovationUtilityDistrib,ecoWeight,ecoMultiplier,ecoSizeEffectOnDemand,ecoSizeEffectOnSupply,ecoGravityDecay,ecoWealthToPopulationExponent,ecoPopulationToWealthExponent,coevolWeight,coevolGamma,coevolGravityDecay,coevolNetworkGmax,coevolNetworkExponent,coevolNetworkThresholdQuantile,objective$logmse,objective$mselog,evolution$samples,evolution$generated,innovationNewInnovationHierarchy,coevolNetworkThresholdQuantile,innovationUtilityDistrib,logmse,innovationUtilityStd,replication,coevolGravityDecay,ecoMultiplier,coevolGamma,coevolNetworkExponent,coevolWeight,ecoWealthToPopulationExponent,innovationGravityDecay,ecoPopulationToWealthExponent,ecoSizeEffectOnSupply,innovationMutationRate,urbanSystem,ecoGravityDecay,mselog,ecoSizeEffectOnDemand,coevolNetworkGmax,ecoWeight,innovationInnovationDecay,innovationWeight,innovationEarlyAdoptersRate
24000,24000,0.002099643937461472,9970.96601113335,7167.9186733060415,0.4781359163761903,0.6053201555980476,0.7210156502940748,1.169926423150704,log-normal,0.007595903332255681,0.004253549233323387,2.254727162777289,0.4614581804607182,4326.215560949191,1.3644887127161798,2.970372871461941,0.009998875046418837,0.10047174413214933,9129.425228916703,4.338023636437641E-6,1.5458707256844537,0.370255463911193,33.54474258655942,1.169735979542194,2,23391,"[0.6053201555980476,0.6053201555980476]","[0.370255463911193,0.370255463911193]","[log-normal,log-normal]","[33.54473764303703,33.54474753008181]","[1.169926423150704,1.169926423150704]","[1914863741165238995,-6344446309962386991]","[9129.425228916703,9129.425228916703]","[0.004253549233323387,0.004253549233323387]","[0.10047174413214933,0.10047174413214933]","[1.5458707256844537,1.5458707256844537]","[0.009998875046418837,0.009998875046418837]","[1.3644887127161798,1.3644887127161798]","[9970.96601113335,9970.96601113335]","[2.970372871461941,2.970372871461941]","[0.4614581804607182,0.4614581804607182]","[0.4781359163761903,0.4781359163761903]","[CN,CN]","[4326.215560949191,4326.215560949191]","[1.1697354670622138,1.1697364920221742]","[2.254727162777289,2.254727162777289]","[4.338023636437641E-6,4.338023636437641E-6]","[0.007595903332255681,0.007595903332255681]","[7167.9186733060415,7167.9186733060415]","[0.002099643937461472,0.002099643937461472]","[0.7210156502940748,0.7210156502940748]"
24000,24000,0.0021221658492880835,9963.046316518614,7227.7569675902805,0.4850333617798405,0.6049686068783917,0.6217858753673305,1.0735060965567278,log-normal,0.007433624301178711,0.004469822239918347,2.242846850364033,0.41352560108576586,4231.723640300442,1.3991447314774987,2.9833099213360863,0.00999895726323778,0.10046335688303219,9382.646298027732,5.129314872294289E-6,1.2169362493817777,0.34215274859777334,33.549359324003575,1.1697334132933523,10,17825,"[0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917,0.6049686068783917]","[0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334,0.34215274859777334]","[log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal]","[33.54930620154832,33.54929729098996,33.549374665585304,33.54925685740657,33.54940728698291,33.54936647317331,33.54933001535118,33.549352174833835,33.54940561850061,33.549371589387434]","[1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278,1.0735060965567278]","[3968434033188988799,-6840799133392012722,-3671016395381675661,714784031074182205,5940465812873965296,-2310103372149824536,7861018805699960887,1002750886254503349,7699013633118957090,-4708383537969405255]","[9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732,9382.646298027732]","[0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347,0.004469822239918347]","[0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219,0.10046335688303219]","[1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777,1.2169362493817777]","[0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778,0.00999895726323778]","[1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987,1.3991447314774987]","[9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614,9963.046316518614]","[2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863,2.9833099213360863]","[0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586,0.41352560108576586]","[0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405,0.4850333617798405]","[CN,CN,CN,CN,CN,CN,CN,CN,CN,CN]","[4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442,4231.723640300442]","[1.1697321817047304,1.1697319990986168,1.1697337471040525,1.1697306217431689,1.1697336686060456,1.169734587321056,1.1697327824211277,1.169733263562088,1.1697351464201449,1.1697335630246164]","[2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033,2.242846850364033]","[5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6,5.129314872294289E-6]","[0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711,0.007433624301178711]","[7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805,7227.7569675902805]","[0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835,0.0021221658492880835]","[0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305,0.6217858753673305]"
24000,24000,0.009665329965097329,9999.928434956857,9748.846877182317,0.4908738244221739,0.7107084092870614,0.05177139081596889,1.0236773688745653,log-normal,0.005263617496202421,0.0034322185471519374,2.286043025263358,1.0343655725508565,3977.134036736428,1.457074714645832,1.9700338574710194,0.009999744117014207,0.10000171350848637,2424.467422444357,3.909300872365961E-8,1.6129667534989727,0.2818213661045408,39.67407352170936,1.1149309333488109,10,21193,"[0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614,0.7107084092870614]","[0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408,0.2818213661045408]","[log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal,log-normal]","[39.67404979190511,39.67408010610001,39.674435460703954,39.673860436702455,39.674050432747784,39.67412567544522,39.674054136099855,39.67406693731871,39.674099533298836,39.67436229669595]","[1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653,1.0236773688745653]","[9078370022929949876,8226926218102072293,5289369622419498349,-8117381201544779737,2338409388526233533,4198098962116340927,4211072243964575565,-4251805786871536132,-1947978843377965204,7911353665995766043]","[2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357,2424.467422444357]","[0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374,0.0034322185471519374]","[0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637,0.10000171350848637]","[1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727,1.6129667534989727]","[0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207,0.009999744117014207]","[1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832,1.457074714645832]","[9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857,9999.928434956857]","[1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194,1.9700338574710194]","[1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565,1.0343655725508565]","[0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739,0.4908738244221739]","[CN,CN,CN,CN,CN,CN,CN,CN,CN,CN]","[3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428,3977.134036736428]","[1.114930711963955,1.1149311547336664,1.1149346638967608,1.1149282562300804,1.1149306816990106,1.1149320393889937,1.11493054025136,1.1149306914677288,1.114931700727911,1.1149349475303425]","[2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358,2.286043025263358]","[3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8,3.909300872365961E-8]","[0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421,0.005263617496202421]","[9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317,9748.846877182317]","[0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329,0.009665329965097329]","[0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889,0.05177139081596889]"
24000,24000,0.00457778598008586,9993.20275664084,6766.386800866698,0.4943978715139158,0.5029252220706318,0.21696236628259394,1.0768321913858947,log-normal,0.006136096848349256,0.004366350016757623,2.2172614476661296,0.46371103489311494,3653.120917138288,1.409386712487312,2.9639673730603615,0.009999988312643392,0.10035553680824627,7120.411625813991,3.4535604013583814E-6,1.1349764813095424,0.4065345826146157,35.454111211773224,1.1343954202438105,1,23999,"[0.5029252220706318]","[0.4065345826146157]","[log-normal]","[35.454111211773224]","[1.0768321913858947]","[-6299984130384463926]","[7120.411625813991]","[0.004366350016757623]","[0.10035553680824627]","[1.1349764813095424]","[0.009999988312643392]","[1.409386712487312]","[9993.20275664084]","[2.9639673730603615]","[0.46371103489311494]","[0.4943978715139158]","[CN]","[3653.120917138288]","[1.1343954202438105]","[2.2172614476661296]","[3.4535604013583814E-6]","[0.006136096848349256]","[6766.386800866698]","[0.00457778598008586]","[0.21696236628259394]"
24000,24000,0.007247068028636168,9999.911763360073,6456.936388772521,0.40587272288030496,0.21944194201743117,0.010677347294782669,0.9926350360704574,normal,0.004652951496447703,0.004647959740501755,2.3085356552408705,1.313055529408338,4860.810015040355,1.428828941924398,2.004933953503307,0.00999984059236834,0.10000182301596658,6311.291600101339,2.0761377881953345E-6,1.3167424651381487,0.35300804632603366,37.997150062924646,1.1188342433172838,9,17481,"[0.21944194201743117,0.21944194201743117,0.21944194201743117,0.21944194201743117,0.21944194201743117,0.21944194201743117,0.21944194201743117,0.21944194201743117,0.21944194201743117]","[0.35300804632603366,0.35300804632603366,0.35300804632603366,0.35300804632603366,0.35300804632603366,0.35300804632603366,0.35300804632603366,0.35300804632603366,0.35300804632603366]","[normal,normal,normal,normal,normal,normal,normal,normal,normal]","[37.997084923005815,37.997543243360106,37.99677152740729,37.997028628542864,37.99709413404318,37.99727428934204,37.997150062924646,37.99733434848662,37.99733234610069]","[0.9926350360704574,0.9926350360704574,0.9926350360704574,0.9926350360704574,0.9926350360704574,0.9926350360704574,0.9926350360704574,0.9926350360704574,0.9926350360704574]","[4902312671394424887,3018379394246900481,8328044980455010438,-9169666429514812848,-2495106304346590265,2959618973502988798,-8642818150170434445,2926721239109855714,-803193321835370445]","[6311.291600101339,6311.291600101339,6311.291600101339,6311.291600101339,6311.291600101339,6311.291600101339,6311.291600101339,6311.291600101339,6311.291600101339]","[0.004647959740501755,0.004647959740501755,0.004647959740501755,0.004647959740501755,0.004647959740501755,0.004647959740501755,0.004647959740501755,0.004647959740501755,0.004647959740501755]","[0.10000182301596658,0.10000182301596658,0.10000182301596658,0.10000182301596658,0.10000182301596658,0.10000182301596658,0.10000182301596658,0.10000182301596658,0.10000182301596658]","[1.3167424651381487,1.3167424651381487,1.3167424651381487,1.3167424651381487,1.3167424651381487,1.3167424651381487,1.3167424651381487,1.3167424651381487,1.3167424651381487]","[0.00999984059236834,0.00999984059236834,0.00999984059236834,0.00999984059236834,0.00999984059236834,0.00999984059236834,0.00999984059236834,0.00999984059236834,0.00999984059236834]","[1.428828941924398,1.428828941924398,1.428828941924398,1.428828941924398,1.428828941924398,1.428828941924398,1.428828941924398,1.428828941924398,1.428828941924398]","[9999.911763360073,9999.911763360073,9999.911763360073,9999.911763360073,9999.911763360073,9999.911763360073,9999.911763360073,9999.911763360073,9999.911763360073]","[2.004933953503307,2.004933953503307,2.004933953503307,2.004933953503307,2.004933953503307,2.004933953503307,2.004933953503307,2.004933953503307,2.004933953503307]","[1.313055529408338,1.313055529408338,1.313055529408338,1.313055529408338,1.313055529408338,1.313055529408338,1.313055529408338,1.313055529408338,1.313055529408338]","[0.40587272288030496,0.40587272288030496,0.40587272288030496,0.40587272288030496,0.40587272288030496,0.40587272288030496,0.40587272288030496,0.40587272288030496,0.40587272288030496]","[CN,CN,CN,CN,CN,CN,CN,CN,CN]","[4860.810015040355,4860.810015040355,4860.810015040355,4860.810015040355,4860.810015040355,4860.810015040355,4860.810015040355,4860.810015040355,4860.810015040355]","[1.1188337869779907,1.1188396058978982,1.118830445644565,1.118832966893515,1.1188338964962181,1.1188369775725462,1.1188342433172838,1.1188361568852354,1.1188372839603313]","[2.3085356552408705,2.3085356552408705,2.3085356552408705,2.3085356552408705,2.3085356552408705,2.3085356552408705,2.3085356552408705,2.3085356552408705,2.3085356552408705]","[2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6,2.0761377881953345E-6]","[0.004652951496447703,0.004652951496447703,0.004652951496447703,0.004652951496447703,0.004652951496447703,0.004652951496447703,0.004652951496447703,0.004652951496447703,0.004652951496447703]","[6456.936388772521,6456.936388772521,6456.936388772521,6456.936388772521,6456.936388772521,6456.936388772521,6456.936388772521,6456.936388772521,6456.936388772521]","[0.007247068028636168,0.007247068028636168,0.007247068028636168,0.007247068028636168,0.007247068028636168,0.007247068028636168,0.007247068028636168,0.007247068028636168,0.007247068028636168]","[0.010677347294782669,0.010677347294782669,0.010677347294782669,0.010677347294782669,0.010677347294782669,0.010677347294782669,0.010677347294782669,0.010677347294782669,0.010677347294782669]"
24000,24000,0.0040815754111525665,9998.222320466675,6366.547693872502,0.5,0.4531896461588262,0.2466466677062973,1.0554273808866137,log-normal,0.006620844492603003,0.004480778487860355,2.4758751895349613,0.4451505060562776,3986.8146870009855,1.3969611127860144,2.7047836606684075,0.009999896122151507,0.10036257711586297,7016.665695407548,3.6509930447513572E-6,1.2619375522718017,0.4322611977545089,34.94813793492849,1.1398254152483054,5,18722,"[0.4531896461588262,0.4531896461588262,0.4531896461588262,0.4531896461588262,0.4531896461588262]","[0.4322611977545089,0.4322611977545089,0.4322611977545089,0.4322611977545089,0.4322611977545089]","[log-normal,log-normal,log-normal,log-normal,log-normal]","[34.94757293047106,34.947669438194346,34.948181168285956,34.94857334753946,34.94813793492849]","[1.0554273808866137,1.0554273808866137,1.0554273808866137,1.0554273808866137,1.0554273808866137]","[6840016650498007085,-5274867363143615741,-1791191597571378724,-6952689027829895693,-3687434072615292522]","[7016.665695407548,7016.665695407548,7016.665695407548,7016.665695407548,7016.665695407548]","[0.004480778487860355,0.004480778487860355,0.004480778487860355,0.004480778487860355,0.004480778487860355]","[0.10036257711586297,0.10036257711586297,0.10036257711586297,0.10036257711586297,0.10036257711586297]","[1.2619375522718017,1.2619375522718017,1.2619375522718017,1.2619375522718017,1.2619375522718017]","[0.009999896122151507,0.009999896122151507,0.009999896122151507,0.009999896122151507,0.009999896122151507]","[1.3969611127860144,1.3969611127860144,1.3969611127860144,1.3969611127860144,1.3969611127860144]","[9998.222320466675,9998.222320466675,9998.222320466675,9998.222320466675,9998.222320466675]","[2.7047836606684075,2.7047836606684075,2.7047836606684075,2.7047836606684075,2.7047836606684075]","[0.4451505060562776,0.4451505060562776,0.4451505060562776,0.4451505060562776,0.4451505060562776]","[0.5,0.5,0.5,0.5,0.5]","[CN,CN,CN,CN,CN]","[3986.8146870009855,3986.8146870009855,3986.8146870009855,3986.8146870009855,3986.8146870009855]","[1.139822990122128,1.1398235571933075,1.1398254152483054,1.1398300130033674,1.139828734097024]","[2.4758751895349613,2.4758751895349613,2.4758751895349613,2.4758751895349613,2.4758751895349613]","[3.6509930447513572E-6,3.6509930447513572E-6,3.6509930447513572E-6,3.6509930447513572E-6,3.6509930447513572E-6]","[0.006620844492603003,0.006620844492603003,0.006620844492603003,0.006620844492603003,0.006620844492603003]","[6366.547693872502,6366.547693872502,6366.547693872502,6366.547693872502,6366.547693872502]","[0.0040815754111525665,0.0040815754111525665,0.0040815754111525665,0.0040815754111525665,0.0040815754111525665]","[0.2466466677062973,0.2466466677062973,0.2466466677062973,0.2466466677062973,0.2466466677062973]"
24000,24000,0.004754408558829175,9985.10098310767,6703.398948064643,0.49632805426935855,0.46364558686144974,0.010770559358592445,1.0192424195312006,normal,0.00596786255219595,0.004509658263025508,2.1898114495040226,0.4863935530222514,3984.986239320277,1.3900710600274584,2.81666195734035,0.009999260728776094,0.10036227592100674,6671.4521936122,3.815993406467742E-6,1.2948755867020296,0.4160647034176762,35.734168314589155,1.133019368497168,6,19705,"[0.46364558686144974,0.46364558686144974,0.46364558686144974,0.46364558686144974,0.46364558686144974,0.46364558686144974]","[0.4160647034176762,0.4160647034176762,0.4160647034176762,0.4160647034176762,0.4160647034176762,0.4160647034176762]","[normal,normal,normal,normal,normal,normal]","[35.73401194195568,35.73424504928338,35.73433207881915,35.7341932699083,35.734143359270014,35.73411709867927]","[1.0192424195312006,1.0192424195312006,1.0192424195312006,1.0192424195312006,1.0192424195312006,1.0192424195312006]","[-6090411805441884668,3430958663517728511,6273523878972812522,603446814727337674,3966318827667022766,-27926316985424518]","[6671.4521936122,6671.4521936122,6671.4521936122,6671.4521936122,6671.4521936122,6671.4521936122]","[0.004509658263025508,0.004509658263025508,0.004509658263025508,0.004509658263025508,0.004509658263025508,0.004509658263025508]","[0.10036227592100674,0.10036227592100674,0.10036227592100674,0.10036227592100674,0.10036227592100674,0.10036227592100674]","[1.2948755867020296,1.2948755867020296,1.2948755867020296,1.2948755867020296,1.2948755867020296,1.2948755867020296]","[0.009999260728776094,0.009999260728776094,0.009999260728776094,0.009999260728776094,0.009999260728776094,0.009999260728776094]","[1.3900710600274584,1.3900710600274584,1.3900710600274584,1.3900710600274584,1.3900710600274584,1.3900710600274584]","[9985.10098310767,9985.10098310767,9985.10098310767,9985.10098310767,9985.10098310767,9985.10098310767]","[2.81666195734035,2.81666195734035,2.81666195734035,2.81666195734035,2.81666195734035,2.81666195734035]","[0.4863935530222514,0.4863935530222514,0.4863935530222514,0.4863935530222514,0.4863935530222514,0.4863935530222514]","[0.49632805426935855,0.49632805426935855,0.49632805426935855,0.49632805426935855,0.49632805426935855,0.49632805426935855]","[CN,CN,CN,CN,CN,CN]","[3984.986239320277,3984.986239320277,3984.986239320277,3984.986239320277,3984.986239320277,3984.986239320277]","[1.1330185439938667,1.1330202462482777,1.1330210792821718,1.1330187498233346,1.1330195525042503,1.1330191844900857]","[2.1898114495040226,2.1898114495040226,2.1898114495040226,2.1898114495040226,2.1898114495040226,2.1898114495040226]","[3.815993406467742E-6,3.815993406467742E-6,3.815993406467742E-6,3.815993406467742E-6,3.815993406467742E-6,3.815993406467742E-6]","[0.00596786255219595,0.00596786255219595,0.00596786255219595,0.00596786255219595,0.00596786255219595,0.00596786255219595]","[6703.398948064643,6703.398948064643,6703.398948064643,6703.398948064643,6703.398948064643,6703.398948064643]","[0.004754408558829175,0.004754408558829175,0.004754408558829175,0.004754408558829175,0.004754408558829175,0.004754408558829175]","[0.010770559358592445,0.010770559358592445,0.010770559358592445,0.010770559358592445,0.010770559358592445,0.010770559358592445]"
24000,24000,0.006811451278366777,9981.167048578209,6693.271523893712,0.4178515768526107,0.16077745688035086,0.0787281494955207,1.0469446521637946,normal,0.005226339459203571,0.004105574539116612,2.3011880192769234,1.7240421773918126,3365.2426495211985,1.4145707326031698,2.1580680718419574,0.00999992335490535,0.1,9850.828782737846,1.4554189134342081E-6,1.3115390161598603,0.35576202835103965,37.651266316595134,1.1204633929686028,7,21822,"[0.16077745688035086,0.16077745688035086,0.16077745688035086,0.16077745688035086,0.16077745688035086,0.16077745688035086,0.16077745688035086]","[0.35576202835103965,0.35576202835103965,0.35576202835103965,0.35576202835103965,0.35576202835103965,0.35576202835103965,0.35576202835103965]","[normal,normal,normal,normal,normal,normal,normal]","[37.651225231397405,37.65166782434976,37.6512969369497,37.651266316595134,37.651875061359725,37.65124070919672,37.650896426707284]","[1.0469446521637946,1.0469446521637946,1.0469446521637946,1.0469446521637946,1.0469446521637946,1.0469446521637946,1.0469446521637946]","[149531270545959423,6785261105492353568,8529897449026092736,-8003485611512400188,-3604728226234831708,6594297735842687799,-2544593284539946247]","[9850.828782737846,9850.828782737846,9850.828782737846,9850.828782737846,9850.828782737846,9850.828782737846,9850.828782737846]","[0.004105574539116612,0.004105574539116612,0.004105574539116612,0.004105574539116612,0.004105574539116612,0.004105574539116612,0.004105574539116612]","[0.1,0.1,0.1,0.1,0.1,0.1,0.1]","[1.3115390161598603,1.3115390161598603,1.3115390161598603,1.3115390161598603,1.3115390161598603,1.3115390161598603,1.3115390161598603]","[0.00999992335490535,0.00999992335490535,0.00999992335490535,0.00999992335490535,0.00999992335490535,0.00999992335490535,0.00999992335490535]","[1.4145707326031698,1.4145707326031698,1.4145707326031698,1.4145707326031698,1.4145707326031698,1.4145707326031698,1.4145707326031698]","[9981.167048578209,9981.167048578209,9981.167048578209,9981.167048578209,9981.167048578209,9981.167048578209,9981.167048578209]","[2.1580680718419574,2.1580680718419574,2.1580680718419574,2.1580680718419574,2.1580680718419574,2.1580680718419574,2.1580680718419574]","[1.7240421773918126,1.7240421773918126,1.7240421773918126,1.7240421773918126,1.7240421773918126,1.7240421773918126,1.7240421773918126]","[0.4178515768526107,0.4178515768526107,0.4178515768526107,0.4178515768526107,0.4178515768526107,0.4178515768526107,0.4178515768526107]","[CN,CN,CN,CN,CN,CN,CN]","[3365.2426495211985,3365.2426495211985,3365.2426495211985,3365.2426495211985,3365.2426495211985,3365.2426495211985,3365.2426495211985]","[1.120463289082255,1.1204681144016049,1.1204646893844532,1.1204618931368704,1.1204707019582745,1.1204633929686028,1.120461428362454]","[2.3011880192769234,2.3011880192769234,2.3011880192769234,2.3011880192769234,2.3011880192769234,2.3011880192769234,2.3011880192769234]","[1.4554189134342081E-6,1.4554189134342081E-6,1.4554189134342081E-6,1.4554189134342081E-6,1.4554189134342081E-6,1.4554189134342081E-6,1.4554189134342081E-6]","[0.005226339459203571,0.005226339459203571,0.005226339459203571,0.005226339459203571,0.005226339459203571,0.005226339459203571,0.005226339459203571]","[6693.271523893712,6693.271523893712,6693.271523893712,6693.271523893712,6693.271523893712,6693.271523893712,6693.271523893712]","[0.006811451278366777,0.006811451278366777,0.006811451278366777,0.006811451278366777,0.006811451278366777,0.006811451278366777,0.006811451278366777]","[0.0787281494955207,0.0787281494955207,0.0787281494955207,0.0787281494955207,0.0787281494955207,0.0787281494955207,0.0787281494955207]"
24000,24000,0.003667597432658064,9992.851314167305,6846.4367925326715,0.4941233316907812,0.5148623754638602,0.2166050565718173,1.0736489603087829,log-normal,0.00624449287134116,0.0045336299586372026,2.2107580836698864,0.4365218490734838,3942.406148457589,1.4119326286472185,2.9213518549601716,0.009999984527476965,0.10035515722678875,7231.691425433549,3.879135344296341E-6,1.183023888833481,0.40055420336774394,34.45043164715211,1.1447132647093725,1,23996,"[0.5148623754638602]","[0.40055420336774394]","[log-normal]","[34.45043164715211]","[1.0736489603087829]","[-3453386457520345437]","[7231.691425433549]","[0.0045336299586372026]","[0.10035515722678875]","[1.183023888833481]","[0.009999984527476965]","[1.4119326286472185]","[9992.851314167305]","[2.9213518549601716]","[0.4365218490734838]","[0.4941233316907812]","[CN]","[3942.406148457589]","[1.1447132647093725]","[2.2107580836698864]","[3.879135344296341E-6]","[0.00624449287134116]","[6846.4367925326715]","[0.003667597432658064]","[0.2166050565718173]"
