evolution$generation,evolution$evaluated,innovationWeight,innovationGravityDecay,innovationInnovationDecay,innovationMutationRate,innovationNewInnovationHierarchy,innovationEarlyAdoptersRate,innovationUtilityStd,innovationUtilityDistrib,ecoWeight,ecoMultiplier,ecoSizeEffectOnDemand,ecoSizeEffectOnSupply,ecoGravityDecay,ecoWealthToPopulationExponent,ecoPopulationToWealthExponent,coevolWeight,coevolGamma,coevolGravityDecay,coevolNetworkGmax,coevolNetworkExponent,coevolNetworkThresholdQuantile,objective$avgLogPop1,objective$avgLogPop2,objective$avgLogPop3,objective$stdLogPop1,objective$stdLogPop2,objective$stdLogPop3,evolution$samples,evolution$generated,gravityFlows,avgLogPop2,oppAverageUtility,innovationNewInnovationHierarchy,giniEconomicWealth,innovationUtilityDistrib,avgLogPop3,averageDistance,innovationUtilityStd,ecoSizeEffectOnDemand,replication,coevolGravityDecay,stdLogPop2,ecoMultiplier,stdLogPop1,coevolGamma,coevolWeight,ecoWealthToPopulationExponent,ecoPopulationToWealthExponent,ecoSizeEffectOnSupply,innovationMutationRate,urbanSystem,ecoGravityDecay,coevolNetworkThresholdQuantile,stdLogPop3,coevolNetworkGmax,ecoWeight,innovationInnovationDecay,coevolNetworkExponent,avgLogPop1,innovationWeight,innovationEarlyAdoptersRate,oppWealth,innovationGravityDecay
157,157,3.2127308866408E-4,9491.80914221684,4557.840679238755,0.0342674851849667,0.31378034619848,0.15667831596234577,0.787399154183361,normal,2.529763008529764E-4,0.0356709002203612,2.79564666275216,2.8522640795724237,6785.56996914937,1.2921644661310485,2.726343246742772,0.009986087076496062,0.10000275768201057,9999.421310497182,2.658862515011893E-5,2.7445027049602846,0.39672521686467593,13.629492325430668,13.63954037306904,13.640070779322116,0.7617261057828589,0.7623160264056023,0.7632188942975356,1,71,"[1.7607138911145332E-4]","[13.63954037306904]","[-1.0539706305862893]","[0.31378034619848]","[NaN]","[normal]","[13.640070779322116]","[1077.3342316735436]","[0.787399154183361]","[2.79564666275216]","[1660655844736052589]","[9999.421310497182]","[0.7623160264056023]","[0.0356709002203612]","[0.7617261057828589]","[0.10000275768201057]","[0.009986087076496062]","[1.2921644661310485]","[2.726343246742772]","[2.8522640795724237]","[0.0342674851849667]","[EU]","[6785.56996914937]","[0.39672521686467593]","[0.7632188942975356]","[2.658862515011893E-5]","[2.529763008529764E-4]","[4557.840679238755]","[2.7445027049602846]","[13.629492325430668]","[3.2127308866408E-4]","[0.15667831596234577]","[-300382.869747899]","[9491.80914221684]"
157,157,2.913348119964479E-4,9281.441704615281,5040.32541997092,0.07577525900827073,1.3919237226175605,0.11136635030494857,0.787399154183361,log-normal,2.4657791367563195E-4,0.04401275811474397,2.6989238624845737,2.8350147338409837,7185.505475880682,1.315582129560261,2.7165722728738797,0.009923332932282843,0.10000233797902848,9999.55233136259,2.7614359987543393E-5,2.7383840591052926,0.5682778319021782,13.629492325430668,13.639286134732256,13.639948818948495,0.7617261057828589,0.7618365610649025,0.7631495830635808,1,14,"[1.8366542412471873E-4]","[13.639286134732256]","[-1.0016630340136938]","[1.3919237226175605]","[NaN]","[log-normal]","[13.639948818948495]","[1077.4764189611042]","[0.787399154183361]","[2.6989238624845737]","[-5721995115479554652]","[9999.55233136259]","[0.7618365610649025]","[0.04401275811474397]","[0.7617261057828589]","[0.10000233797902848]","[0.009923332932282843]","[1.315582129560261]","[2.7165722728738797]","[2.8350147338409837]","[0.07577525900827073]","[EU]","[7185.505475880682]","[0.5682778319021782]","[0.7631495830635808]","[2.7614359987543393E-5]","[2.4657791367563195E-4]","[5040.32541997092]","[2.7383840591052926]","[13.629492325430668]","[2.913348119964479E-4]","[0.11136635030494857]","[-300382.86974789895]","[9281.441704615281]"
157,157,3.521848840078241E-5,9407.486203681674,3773.50783039813,0.46648898760943586,1.0535849905728591,0.156981605578018,0.8837226890427063,normal,2.751437444216764E-4,0.042252261233621975,2.56561460692011,2.6544270783103285,8126.152722185206,1.3241597578876072,2.99991930517036,0.0098666486583222,0.10000002293699342,9999.989616786628,2.5209871821917053E-5,2.4646450922500116,0.7349188236250039,13.629492325430668,13.638889354650583,13.639380677033742,0.7617261057828589,0.7612431575869583,0.7625934088210938,1,72,"[1.6699946489490456E-4]","[13.638889354650583]","[-1.374847810449941]","[1.0535849905728591]","[NaN]","[normal]","[13.639380677033742]","[1077.8037479949405]","[0.8837226890427063]","[2.56561460692011]","[2686914867292484624]","[9999.989616786628]","[0.7612431575869583]","[0.042252261233621975]","[0.7617261057828589]","[0.10000002293699342]","[0.0098666486583222]","[1.3241597578876072]","[2.99991930517036]","[2.6544270783103285]","[0.46648898760943586]","[EU]","[8126.152722185206]","[0.7349188236250039]","[0.7625934088210938]","[2.5209871821917053E-5]","[2.751437444216764E-4]","[3773.50783039813]","[2.4646450922500116]","[13.629492325430668]","[3.521848840078241E-5]","[0.156981605578018]","[-300382.86974789924]","[9407.486203681674]"
157,157,1.2187276632535921E-4,9613.023638193215,4009.853051117627,0.09248392544763294,0.6470756772542001,0.12828217339980053,0.8489517965040949,log-normal,2.408924194501148E-4,0.0455791520937393,2.6117209284637903,2.5511440933850795,8701.190965205471,1.34215216564457,2.981930196279986,0.01,0.10000017180049195,9999.808548528974,2.40574682178368E-5,2.1457723052437063,0.34110912349978617,13.629492325430668,13.638978894098878,13.639685980162586,0.7617261057828589,0.7609695187399755,0.762790586778102,2,50,"[1.7499157711309664E-4,1.777127422875427E-4]","[13.638978894098878,13.638978894098878]","[-1.2327727542744549,-1.3167096572689583]","[0.6470756772542001,0.6470756772542001]","[NaN,NaN]","[log-normal,log-normal]","[13.639685980164499,13.639685980160674]","[1077.8297883034886,1077.8297874169118]","[0.8489517965040949,0.8489517965040949]","[2.6117209284637903,2.6117209284637903]","[-8467205200403351521,-52851055902707704]","[9999.808548528974,9999.808548528974]","[0.7609695187399755,0.7609695187399755]","[0.0455791520937393,0.0455791520937393]","[0.7617261057828589,0.7617261057828589]","[0.10000017180049195,0.10000017180049195]","[0.01,0.01]","[1.34215216564457,1.34215216564457]","[2.981930196279986,2.981930196279986]","[2.5511440933850795,2.5511440933850795]","[0.09248392544763294,0.09248392544763294]","[EU,EU]","[8701.190965205471,8701.190965205471]","[0.34110912349978617,0.34110912349978617]","[0.7627905802621173,0.7627905932940865]","[2.40574682178368E-5,2.40574682178368E-5]","[2.408924194501148E-4,2.408924194501148E-4]","[4009.853051117627,4009.853051117627]","[2.1457723052437063,2.1457723052437063]","[13.629492325430668,13.629492325430668]","[1.2187276632535921E-4,1.2187276632535921E-4]","[0.12828217339980053,0.12828217339980053]","[-300382.8697478992,-300382.8697478992]","[9613.023638193215,9613.023638193215]"
157,157,2.2362687860983752E-4,9178.11748599126,5040.32541997092,0.45727882868057423,1.290780563406915,0.14248211007966716,0.8970028431698219,log-normal,2.990517379097126E-4,0.04334333736828304,2.723486366492231,2.9750214567356226,7173.59133589217,1.3406488924431104,2.7759922728699555,0.009913709582749031,0.10000333441805535,9999.869874768621,2.7985403925183412E-5,2.9302427155897037,0.644520228282002,13.629492325430668,13.638906283327172,13.639803964625116,0.7617261057828589,0.7608972542371922,0.7630030516423519,1,78,"[1.6873088163481568E-4]","[13.638906283327172]","[-1.3340347200424991]","[1.290780563406915]","[NaN]","[log-normal]","[13.639803964625116]","[1077.7689697676242]","[0.8970028431698219]","[2.723486366492231]","[788091328770783387]","[9999.869874768621]","[0.7608972542371922]","[0.04334333736828304]","[0.7617261057828589]","[0.10000333441805535]","[0.009913709582749031]","[1.3406488924431104]","[2.7759922728699555]","[2.9750214567356226]","[0.45727882868057423]","[EU]","[7173.59133589217]","[0.644520228282002]","[0.7630030516423519]","[2.7985403925183412E-5]","[2.990517379097126E-4]","[5040.32541997092]","[2.9302427155897037]","[13.629492325430668]","[2.2362687860983752E-4]","[0.14248211007966716]","[-300382.86974789924]","[9178.11748599126]"
157,157,2.481164517194551E-4,9196.822325392492,5040.32541997092,0.499966049072766,0.5848395751078865,0.058587662234828385,0.901283681804847,normal,2.35619445720701E-4,0.04374179754177802,2.79564666275216,2.7980701074241234,7302.8348855043,1.3294308689155312,2.99991930517036,0.009921611041428115,0.10000245395177909,9999.874568573818,2.766219847456692E-5,2.812907728018375,0.734918823625004,13.629492325430668,13.639171359097492,13.639860737309519,0.7617261057828589,0.7615162741268903,0.7630564133894857,2,46,"[1.6848177088552013E-4,1.6583495015847557E-4]","[13.639171359097492,13.639171359097492]","[-1.3815259570539804,-1.2505312706590932]","[0.5848395751078865,0.5848395751078865]","[NaN,NaN]","[normal,normal]","[13.63986073730366,13.639860737315379]","[1077.6114352447735,1077.6115926485818]","[0.901283681804847,0.901283681804847]","[2.79564666275216,2.79564666275216]","[-2318642147593313163,9198308551154807450]","[9999.874568573818,9999.874568573818]","[0.7615162741268903,0.7615162741268903]","[0.04374179754177802,0.04374179754177802]","[0.7617261057828589,0.7617261057828589]","[0.10000245395177909,0.10000245395177909]","[0.009921611041428115,0.009921611041428115]","[1.3294308689155312,1.3294308689155312]","[2.99991930517036,2.99991930517036]","[2.7980701074241234,2.7980701074241234]","[0.499966049072766,0.499966049072766]","[EU,EU]","[7302.8348855043,7302.8348855043]","[0.734918823625004,0.734918823625004]","[0.7630564045889239,0.7630564221900475]","[2.766219847456692E-5,2.766219847456692E-5]","[2.35619445720701E-4,2.35619445720701E-4]","[5040.32541997092,5040.32541997092]","[2.812907728018375,2.812907728018375]","[13.629492325430668,13.629492325430668]","[2.481164517194551E-4,2.481164517194551E-4]","[0.058587662234828385,0.058587662234828385]","[-300382.86974789924,-300382.86974789924]","[9196.822325392492,9196.822325392492]"
157,157,8.421294481015661E-5,9613.011165153112,4011.5922537830047,0.0342674851849667,0.6469685228600065,0.1055895786314009,0.8489680747870023,normal,2.35619445720701E-4,0.0455791520937393,2.5682732049728916,2.812821313853425,8232.230218759783,1.28329803042104,2.9824263765742396,0.01,0.10000024365131567,9999.80794079105,2.4085562611684634E-5,1.98562537924888,0.3410372800990966,13.629492325430668,13.639315725184881,13.639610680516794,0.7617261057828589,0.7620246424575233,0.7627094937682424,1,70,"[1.8595477536310136E-4]","[13.639315725184881]","[-0.9999999999999999]","[0.6469685228600065]","[NaN]","[normal]","[13.639610680516794]","[1077.5553671515268]","[0.8489680747870023]","[2.5682732049728916]","[-1622471122925868681]","[9999.80794079105]","[0.7620246424575233]","[0.0455791520937393]","[0.7617261057828589]","[0.10000024365131567]","[0.01]","[1.28329803042104]","[2.9824263765742396]","[2.812821313853425]","[0.0342674851849667]","[EU]","[8232.230218759783]","[0.3410372800990966]","[0.7627094937682424]","[2.4085562611684634E-5]","[2.35619445720701E-4]","[4011.5922537830047]","[1.98562537924888]","[13.629492325430668]","[8.421294481015661E-5]","[0.1055895786314009]","[-300382.869747899]","[9613.011165153112]"
157,157,2.1370395622238655E-4,9273.476953379004,2516.341264179152,0.3528742777585231,1.5270088631052254,0.156981605578018,0.9108827675099548,log-normal,3.8848176411628005E-4,0.0455791520937393,2.79564666275216,2.7661237185279046,6785.56996914937,1.34215216564457,2.859388171259632,0.009913709415121612,0.1,9999.556264522615,2.752658839240795E-5,2.838091485219771,0.335102639690438,13.629492325430668,13.638622704429515,13.639784129820837,0.7617261057828589,0.7600805806388462,0.762981619740396,1,139,"[1.7624403060236454E-4]","[13.638622704429515]","[-1.2062606282459352]","[1.5270088631052254]","[NaN]","[log-normal]","[13.639784129820837]","[1077.9999082196505]","[0.9108827675099548]","[2.79564666275216]","[-8740765209646652957]","[9999.556264522615]","[0.7600805806388462]","[0.0455791520937393]","[0.7617261057828589]","[0.1]","[0.009913709415121612]","[1.34215216564457]","[2.859388171259632]","[2.7661237185279046]","[0.3528742777585231]","[EU]","[6785.56996914937]","[0.335102639690438]","[0.762981619740396]","[2.752658839240795E-5]","[3.8848176411628005E-4]","[2516.341264179152]","[2.838091485219771]","[13.629492325430668]","[2.1370395622238655E-4]","[0.156981605578018]","[-300382.86974789924]","[9273.476953379004]"
157,157,2.0231611178080062E-4,9714.638450215929,3394.3268657448525,0.0342674851849667,1.4318232616529185,0.08833640855049221,0.81427515988383,log-normal,2.49876467739223E-4,0.04190430657184718,2.740444920746182,2.8558442865370974,9232.81635629893,1.3136232368819247,2.7292033736690406,0.009888074900147158,0.1000057636099,9999.57237597017,2.7145642738898923E-5,2.7361991123928933,0.734918823625004,13.629492325430668,13.639186974965225,13.639735985127002,0.7617261057828589,0.7618021556137634,0.7629549057999345,1,102,"[1.868753823774147E-4]","[13.639186974965225]","[-1.0000000000000007]","[1.4318232616529185]","[NaN]","[log-normal]","[13.639735985127002]","[1077.5396440856641]","[0.81427515988383]","[2.740444920746182]","[-2786177011285378991]","[9999.57237597017]","[0.7618021556137634]","[0.04190430657184718]","[0.7617261057828589]","[0.1000057636099]","[0.009888074900147158]","[1.3136232368819247]","[2.7292033736690406]","[2.8558442865370974]","[0.0342674851849667]","[EU]","[9232.81635629893]","[0.734918823625004]","[0.7629549057999345]","[2.7145642738898923E-5]","[2.49876467739223E-4]","[3394.3268657448525]","[2.7361991123928933]","[13.629492325430668]","[2.0231611178080062E-4]","[0.08833640855049221]","[-300382.8697478989]","[9714.638450215929]"
157,157,1.9327623093207496E-4,9178.11748599126,5016.652642226334,0.4463242293748539,1.10513497896504,0.14313759547228494,0.8970302637773324,log-normal,2.983744132362611E-4,0.0455791520937393,2.7313838151959366,2.7470817915854946,7170.74100695262,1.3391762209392541,2.767541692456734,0.009913306647098254,0.10000171452817677,9999.765491782253,2.9030704548077897E-5,2.96601337346863,0.6435954876948298,13.629492325430668,13.638859133427275,13.63974289694735,0.7617261057828589,0.760824508277259,0.7629376505577876,1,96,"[1.6837563365989296E-4]","[13.638859133427275]","[-1.2319878218046432]","[1.10513497896504]","[NaN]","[log-normal]","[13.63974289694735]","[1077.8034117594589]","[0.8970302637773324]","[2.7313838151959366]","[-3827320645996698778]","[9999.765491782253]","[0.760824508277259]","[0.0455791520937393]","[0.7617261057828589]","[0.10000171452817677]","[0.009913306647098254]","[1.3391762209392541]","[2.767541692456734]","[2.7470817915854946]","[0.4463242293748539]","[EU]","[7170.74100695262]","[0.6435954876948298]","[0.7629376505577876]","[2.9030704548077897E-5]","[2.983744132362611E-4]","[5016.652642226334]","[2.96601337346863]","[13.629492325430668]","[1.9327623093207496E-4]","[0.14313759547228494]","[-300382.86974789924]","[9178.11748599126]"
